Topic,Description,Learning Outcome,Activity,Project
Chapter 13: Introduction to JavaScript,,,,
Introduction to JavaScript: Role History and Setup,"Establish what JavaScript is and where it runs: the browser's built-in programming language that adds logic and interactivity to web pages. Briefly explain its history: created in 10 days in 1995, now the world's most widely used programming language. Contrast JS with HTML and CSS: HTML is structure, CSS is style, JS is behaviour. Draw the comparison for students coming from C or Python: JS is dynamically typed, runs in a runtime (browser or Node.js), uses similar control flow syntax (if/for/while), but has significant differences in how it handles types, scope, and objects. Explain the three ways to run JS in this module: the browser console for quick experiments, and external .js files run directly. Reserve inline script tags and linking to HTML for the web dev JS module. Introduce the browser console: how to open it (F12 or Cmd+Option+J), how to run single statements, and how to use console.log() as the primary output tool throughout this module.","Student understands what JavaScript is, where it sits in the web technology stack, can open the browser console, run basic statements, and use console.log() for output.","Console Explorer: open the browser console and run 10 progressively complex statements: a simple arithmetic expression, a string, a comparison, typeof checks on various values, and a multi-line function. Predict the output of each before pressing Enter. Then solve 5 classic beginner problems in the console: swap two values without a third variable, reverse a string, find the largest of three numbers, check if a number is even or odd, and print FizzBuzz from 1 to 20.","Chatbot Logic Foundation: this module builds the pure JavaScript logic that will later power the chatbot interface. Start a chatbot-logic.js file. Add a console.log welcome message. This file will grow across all chapters to contain the utility functions and data structures the chatbot will use."
Variables: let const and var,"Cover the three variable declaration keywords. var: function-scoped, hoisted to the top of its function, can be redeclared and reassigned — explain why it causes bugs in modern code and why it is legacy. let: block-scoped, not hoisted in the usable sense, can be reassigned but not redeclared in the same scope — the standard choice when a value needs to change. const: block-scoped, cannot be reassigned after declaration — the default choice for values that do not change. Clarify that const with an object or array does not make the contents immutable, only the binding. Cover hoisting: var declarations are moved to the top of their scope by the engine, but their value is not initialized until the assignment line runs, resulting in undefined when accessed before assignment. let and const are in the temporal dead zone until their declaration line. Establish the preferred order of use: const by default, let when reassignment is needed, var never in new code.","Student can declare variables using let and const correctly, explain the difference between var and let in terms of scope and hoisting, and choose the appropriate keyword for any given situation.","Variable Audit: given 10 variable declarations mixing var, let, and const in various scope contexts, predict whether each will throw an error, print undefined, or print a value. Then rewrite all var declarations to the correct modern equivalent. Identify which let declarations should actually be const.","Chatbot Logic Foundation: declare the chatbot's configuration values (bot name, max message length, supported languages list) using const. Declare session-state variables (message count, current user name) using let. Write a comment explaining why each keyword was chosen."
Data Types: Primitives Type Coercion and typeof,"Cover the seven primitive data types in JavaScript: string (text in single, double, or backtick quotes), number (all numeric values including integers and floats — no separate int type), boolean (true or false), null (intentional absence of value — assigned by the developer), undefined (absence of value because nothing was assigned — assigned by the engine), BigInt (integers beyond the safe integer limit — brief mention only), and Symbol (unique identifiers — brief mention only). Cover the typeof operator for runtime type inspection. Explain type coercion: JavaScript automatically converts types in certain contexts. Cover implicit coercion: adding a string and a number produces a string, comparing with == triggers coercion, boolean contexts convert values to truthy or falsy. Cover truthy and falsy values: the six falsy values are false, 0, empty string, null, undefined, and NaN. Everything else is truthy. Cover explicit type conversion: Number(), String(), Boolean(), parseInt(), parseFloat(). Cover NaN (Not a Number): it is of type number, it is not equal to itself (NaN === NaN is false), and isNaN() is the correct way to check for it.","Student can identify all primitive data types, use typeof correctly, predict the result of common coercion scenarios, distinguish truthy from falsy values, and perform explicit type conversion.","Coercion Predictor: given 15 expressions mixing types, operators, and coercion (for example: 1 + '2', true + 1, null == undefined, 0 == false, '' == false, typeof null, typeof NaN), predict each output before running it in the console. Document which predictions were wrong and explain why. Then write a function isTruthy(value) that logs whether its argument is truthy or falsy with a clear message.","Chatbot Logic Foundation: write a validateMessage(input) function that checks whether input is a non-empty string and not just whitespace. Use typeof and truthy/falsy knowledge to handle all edge cases: null, undefined, empty string, number accidentally passed instead of string."
Chapter 14: Operators Conditionals and Loops,,,,
Operators: Arithmetic Assignment Comparison and Logical,"Cover arithmetic operators: addition (+), subtraction (-), multiplication (*), division (/), modulo (%), exponentiation (**), increment (++) and decrement (--) in both prefix and postfix forms and their difference. Cover assignment operators: =, +=, -=, *=, /=, %=. Cover comparison operators: greater than, less than, >= <=, strict equality (===), strict inequality (!==), loose equality (==), loose inequality (!=). Emphasize the difference between strict and loose equality: === checks both value and type with no coercion, == triggers type coercion before comparing. Always prefer ===. Cover logical operators: && (AND — returns the first falsy value or the last value if all truthy), || (OR — returns the first truthy value or the last value if all falsy), ! (NOT). Cover short-circuit evaluation: && stops at the first falsy, || stops at the first truthy. Cover the nullish coalescing operator ?? (returns the right side only when the left is null or undefined, not when it is 0 or empty string — unlike ||). Cover the optional chaining operator ?. for safely accessing nested properties that may not exist.","Student can use all arithmetic, assignment, comparison, and logical operators correctly, always chooses === over ==, understands short-circuit evaluation, and can use ?? and ?. for safe value access.","Operator Challenges: solve 10 logic problems using operators: compute a tip calculator, determine if a year is a leap year, check if a number is divisible by both 3 and 5, use short-circuit evaluation to provide a default value, use ?? to distinguish between null and 0, use ?. to safely access a nested object property that may not exist. Predict 5 coercion outputs involving == before running them.","Chatbot Logic Foundation: add a getDisplayName(user) function that uses ?? to return user.name if it exists and is not null or undefined, falling back to 'Anonymous'. Add a isValidLength(message, max) function using comparison operators to check if a message is within the allowed character limit."
Conditionals: if else ternary and switch,"Cover the if statement for executing code when a condition is true. Cover if-else for two branches. Cover if-else if-else chains for multiple branches — note that only the first matching branch runs. Cover the ternary operator (condition ? valueIfTrue : valueIfFalse) as a concise single-expression alternative to if-else — appropriate for simple value selection, not for complex multi-statement logic. Cover the switch statement for matching a single expression against multiple possible values: case, break, default, and the fall-through behavior when break is omitted. Explain when each is the right choice: if-else for complex conditions with different variable types, switch for matching one variable against many known values, ternary for inline value selection in assignments or JSX-like contexts.","Student can write if-else chains, switch statements, and ternary expressions correctly, understands fall-through behavior in switch, and chooses the appropriate conditional construct for each situation.","Conditional Practice: build a gradeClassifier(score) function using if-else if that returns a grade letter. Build a getDayType(day) function using switch that returns Weekend or Weekday. Rewrite three if-else assignments as ternary expressions. Deliberately omit break in a switch case and predict what happens before running.","Chatbot Logic Foundation: write a classifyMessage(message) function that uses if-else if to categorize a message: if it contains a question mark return 'question', if it starts with 'help' return 'help-request', if it is empty return 'empty', otherwise return 'statement'. Add a getBotResponse(category) function using switch that returns a hardcoded bot reply for each category."
Loops: for while do-while for-of and for-in,"Cover the for loop for a known number of iterations: initialization, condition, increment. Cover the while loop for an unknown number of iterations where the condition is checked before each run. Cover the do-while loop where the body runs at least once before the condition is checked. Cover for...of for iterating over iterable values (arrays, strings): gives the value at each position. Cover for...in for iterating over the enumerable keys of an object: gives the key name at each position — note its limitations for arrays (gives index strings, not values) and why for...of is preferred for arrays. Cover break to exit a loop early and continue to skip the current iteration. Cover nested loops and their use for two-dimensional data like grids and matrices.","Student can choose the correct loop type for a given problem, use break and continue, iterate over arrays with for...of and objects with for...in, and understand the behavioral difference between while and do-while.","Loop Challenges: solve 10 problems using the correct loop type for each: print multiplication table using nested for loops, sum digits of a number using while, validate input in a do-while simulation using an array of inputs, iterate over an array of messages using for...of, iterate over an object of user settings using for...in, find the first prime number above 50 using for with break, build a pattern printer using nested loops.","Chatbot Logic Foundation: write a processMessageHistory(messages) function that uses for...of to iterate over an array of message objects and returns a count of bot messages and user messages separately. Add a searchMessages(messages, keyword) function that uses for...of with break to return the first message containing the keyword."
Chapter 15: Strings and String Manipulation,,,,
Strings: Creation Properties Immutability and Methods,"Cover string creation using single quotes, double quotes, and template literals. Explain that strings are primitive and immutable: string methods always return a new string and never modify the original. Cover the length property. Cover the most important string methods with their syntax and return values: charAt(index) and bracket notation for character access, indexOf(substring) and lastIndexOf(substring) for finding positions (-1 when not found), includes(substring) for boolean presence check, slice(start, end) for extracting a portion (supports negative indices), substring(start, end) for extracting a portion (does not support negative indices — clamps to 0), replace(search, replacement) for replacing the first occurrence, replaceAll(search, replacement) for all occurrences, toUpperCase() and toLowerCase(), trim() trimStart() and trimEnd() for whitespace removal, split(delimiter) for converting to an array, padStart(length, char) and padEnd(length, char) for padding to a fixed width, startsWith() and endsWith() for boundary checks. Establish the pattern: methods do not mutate, they return.","Student can use all major string methods, correctly explains string immutability, accesses characters by index, and chains methods to transform strings.","String Method Lab: build five utility functions using only string methods (no regex): wordCount(str) that counts words by splitting on spaces, titleCase(str) that capitalizes the first letter of each word, truncate(str, max) that returns the string followed by ... if it exceeds max characters, findAndReplace(str, find, replacement) that replaces all occurrences, and basicEmailCheck(str) that checks for the presence of @ and a dot after it using indexOf and includes.","Chatbot Logic Foundation: add a formatMessage(text) function that trims whitespace, truncates to 500 characters with ..., and capitalizes the first character. Add a containsKeyword(message, keywords) function that takes an array of keywords and returns true if any of them appear in the message using includes."
Template Literals and Common String Patterns,"Cover template literals in depth: backtick syntax, ${expression} interpolation for embedding any expression (variables, arithmetic, function calls, ternary operators), and multi-line strings without escape characters. Cover tagged template literals briefly as a concept: a function that receives the template parts and interpolated values separately — show one example without deep implementation. Cover common string manipulation patterns: building dynamic messages by composing strings from data, padding numbers to fixed widths for formatted output (padStart), converting between strings and arrays (split and join), reversing a string by splitting, reversing the array, and joining, and counting character frequency using a loop and an object.","Student can write template literals with any embedded expression, produce multi-line strings without escape sequences, and implement common string patterns including split-reverse-join and character frequency counting.","Pattern Practice: use template literals to build a formatted bot response message that includes the user name, message count, and current time. Reverse a string using split-reverse-join and verify with multiple inputs. Write a charFrequency(str) function that returns an object mapping each character to its count in the string.","Chatbot Logic Foundation: rewrite all string concatenation in chatbot-logic.js to use template literals. Add a buildBotMessage(userName, response) function that returns a formatted message string using a template literal. Add a repeatChar(char, n) function using padStart or a loop for visual separator lines in console output."
Chapter 16: Functions Scope and Error Handling,,,,
Functions: Declarations Expressions and Arrow Functions,"Cover function declarations: the function keyword, name, parameter list, body, and return statement. Explain hoisting of function declarations: they are fully hoisted and can be called before their definition in the file. Cover function expressions: assigning an anonymous function to a variable — not hoisted, must be defined before use. Cover arrow functions: the concise syntax (=> ), implicit return for single-expression bodies, and the key behavioral difference from regular functions — arrow functions do not have their own this binding. Cover parameters and arguments: the difference between them, what happens when too few or too many arguments are passed. Cover default parameter values. Cover the rest operator (...args) for collecting remaining arguments into an array. Cover the return statement: functions return undefined by default when no return is present. Cover higher-order functions: functions that accept other functions as arguments or return functions — the foundation for map, filter, and reduce.","Student can write function declarations, function expressions, and arrow functions, explains the hoisting difference between them, uses default parameters and rest, and can write and use basic higher-order functions.","Function Practice: implement createMultiplier(n) that returns a function multiplying its argument by n. Implement once(fn) that returns a version of fn that only executes on the first call. Implement pipe(fn1, fn2, fn3) that returns a function passing its argument through all three functions in sequence. Predict the output of 3 closure-based snippets involving loops and var before running them.","Chatbot Logic Foundation: refactor all logic in chatbot-logic.js into named functions. Add a createResponder(botName) factory function that returns a function generating formatted bot responses using the botName in a closure. Add a compose(validators) function that takes an array of validation functions and returns a single function that passes the input through all validators."
Scope: Global Function Block and Closures,"Cover the three levels of scope in JavaScript. Global scope: variables declared outside any function or block, accessible everywhere in the file. Function scope: variables declared inside a function with var are scoped to that function, inaccessible from outside. Block scope: variables declared with let or const inside any curly-brace block (if, for, while, standalone blocks) are scoped to that block. Cover the scope chain: when a variable is referenced, the engine looks in the current scope, then the enclosing scope, then further outward until global scope — if not found, a ReferenceError is thrown. Cover closures: a function that retains access to variables from its outer scope even after the outer function has finished executing. Explain the lexical environment: the scope a function captures is determined by where it is written in the source code, not where it is called from. Cover the classic closure-in-a-loop bug with var and its fix using let or an IIFE. Cover practical uses of closures: data encapsulation and private variables.","Student can trace variable lookups through the scope chain, explain why closures work, predict the output of closure-based code including the classic loop bug, and use closures for basic data encapsulation.","Scope and Closure Lab: trace the scope chain for 5 nested function examples and identify which variables are accessible at each level. Predict the output of the classic var-in-a-loop problem (setTimeout printing n). Fix it using let. Build a makeCounter() closure that returns an object with increment, decrement, and getCount methods, keeping the count variable private.","Chatbot Logic Foundation: refactor the session state (message count, user name) into a createSession() closure that exposes only the methods needed to read and update state — no direct variable access from outside. The session counter increments on each message and can be reset without exposing the raw variable."
Error Handling: try catch finally and the Error Object,"Cover why error handling is necessary: unhandled errors crash the program. Cover the try-catch block: code in try runs normally, if an error is thrown execution jumps immediately to catch where the error object is available. Cover the finally block: always runs after try or catch regardless of whether an error occurred — used for cleanup (closing connections, resetting state). Cover the throw statement: manually throwing an error to signal that something went wrong. Any value can be thrown, but throwing an Error object is the convention. Cover the built-in Error types: Error (generic), TypeError (wrong type), RangeError (value out of allowed range), ReferenceError (variable not defined). Cover creating custom error messages: new Error('message'), accessing error.message and error.name. Cover when to use error handling: at the boundaries of your code where external input arrives or where operations can fail, not inside pure logic functions. Distinguish between errors (unexpected failures) and validation (expected invalid input that should return a message, not throw).","Student can write try-catch-finally blocks, throw meaningful Error objects, use the correct built-in Error type for a given situation, and distinguish between throwing an error and returning a validation message.","Error Handling Practice: wrap the validateMessage function from Chapter 13 in a try-catch and throw a TypeError when the input is not a string. Write a safeDivide(a, b) function that throws a RangeError when b is zero. Write a parseUserAge(input) function that throws appropriate errors for non-numeric input and out-of-range values. In the catch block of each, log a user-friendly message rather than the raw error.","Chatbot Logic Foundation: wrap the message processing pipeline in chatbot-logic.js in a try-catch so that any unexpected input does not crash the program. Add meaningful error messages using template literals. Add a finally block that always logs the attempt to the session history regardless of success or failure."
Chapter 17: Arrays and Array Methods,,,,
Arrays: Creation Access and Basic Mutation Methods,"Cover array creation using literal syntax ([]). Cover index-based access (zero-indexed). Cover the length property. Cover checking if a value is an array using Array.isArray(). Cover the basic mutation methods that modify the array in place: push(item) adds to the end and returns the new length, pop() removes from the end and returns the removed item, unshift(item) adds to the beginning, shift() removes from the beginning, splice(start, deleteCount, ...items) removes and or inserts at a specific position. Cover the non-mutating extraction method slice(start, end) which returns a new array. Explain the mutating vs non-mutating distinction clearly: mutation methods change the original array, non-mutating methods return a new one. Cover two-dimensional arrays (arrays of arrays) as the basis for grid and table data.","Student can create arrays, access and modify elements by index, use all basic mutation methods correctly, and distinguishes between methods that mutate the original and those that return a new array.","Array Basics Lab: build a playlist manager using only basic array methods: add a song to the end, remove the last song, add a song to the beginning, remove the first song, insert a song at a specific position using splice, and remove a song by its index. Log the playlist after each operation.","Chatbot Logic Foundation: model the message history as an array of message objects ({sender, text, timestamp}). Add an addMessage(history, sender, text) function that pushes a new message object. Add a removeLastMessage(history) function using pop. Add a getLastN(history, n) function using slice(-n) to retrieve the most recent n messages."
