Topic,Description,Learning Outcome,Activity,Project
Chapter 7: CSS Fundamentals,,,,
What is CSS and How It Connects to HTML,"Define CSS as the styling language of the web. Explain separation of concerns: HTML for structure, CSS for presentation. Cover the three ways to apply CSS: inline (style attribute), internal (style tag in head), and external (link tag with a .css file). Establish that external stylesheets are the only correct approach in professional work and the only method used in this course. Explain how the browser combines HTML and CSS to build the render tree and produce the final visual output. Briefly revisit the CSSOM concept from the Internet module. Cover the link tag syntax for connecting an external stylesheet to an HTML document.","Student can create an external CSS file, link it to an HTML document correctly, and explain why external stylesheets are preferred over inline or internal styles.","Three-Way Comparison: achieve the same visual result (a coloured heading and a paragraph) using all three methods: inline, internal, and external. Confirm they look identical in the browser, then discuss why only the external approach scales. Delete the inline and internal versions and keep only the external file going forward.","Chatbot Base Stylesheet: create style.css in the chatbot project folder. Link it to index.html using the link tag in the head. Add a CSS reset (margin: 0, padding: 0, box-sizing: border-box on the universal selector). Set the base font-family, background-color, and color on the body. This file will grow into the complete chatbot stylesheet across the CSS module."
CSS Selectors: type class ID and Basic Pseudo-classes,"Cover the three foundational selector types: type selectors (targeting all elements of a tag name), class selectors (targeting by class attribute using a dot prefix), and ID selectors (targeting a single element by id using a hash prefix). Cover grouping selectors (comma-separated) and combinators: descendant (space), child (>), adjacent sibling (+). Introduce basic pseudo-classes as a natural extension of selectors: :hover for mouse-over states, :focus for keyboard-focused inputs, :active for click states, :visited for links already navigated to. Emphasise that these are the selectors used every day in real-world CSS. Distinguish when to use class vs ID: class for reusable components, ID only for unique page-level elements.","Student can write type, class, and ID selectors, combine them using grouping and combinators, and add basic interactive states using pseudo-classes.","Selector Playground: given a provided HTML page with various elements, classes, and IDs, write CSS rules using each selector type and combinator to change the colour, size, or background of targeted elements. Verify in the browser that only the intended elements are affected.","Chatbot Selector Setup: write CSS rules targeting the chatbot's main structural regions by their semantic elements and class names: header, nav links, the chat window, bot-message and user-message classes, the input bar, and the footer. Apply only background-color for now to visually verify each selector targets the correct region. Add :hover on nav links and the send button."
CSS Units: px % em rem vw vh,"Cover the full set of CSS units students will encounter throughout the course. Absolute: px (fixed device pixels, predictable but not scalable). Relative: % (relative to parent element's dimension), em (relative to the current element's own font-size, compounds when nested and creates unpredictable scaling), rem (relative to the root element's font-size set on html or :root, does not compound, scales consistently). Viewport units: vw (1% of viewport width), vh (1% of viewport height). Explain why rem is preferred over em for font sizes and spacing: it is predictable and does not compound through nested elements. Show a concrete side-by-side of em compounding vs rem staying flat. Cover when to use each: px for borders and fine details, rem for typography and spacing throughout a design system, % for fluid widths in layout, vw/vh for full-screen sections and viewport-relative sizing.","Student can choose the appropriate CSS unit for any given property and understands the difference between absolute, relative, and viewport units. Can explain why rem is generally preferred over em for scalable, consistent design.","Units Lab: create a page with nested text elements and apply font sizes using px, em, and rem on deeply nested elements to observe the compounding effect of em vs the flat consistency of rem. Then add a section that fills exactly the full viewport height using vh and a container that is 50vw wide.","Chatbot Spacing System: replace all pixel font sizes in the chatbot stylesheet with rem values. Set a base font size on :root. Use rem for all font sizes, padding, and margin. Use vh on the chat message window to make it occupy a specific proportion of the screen height. Use % on the overall container width."
Working with Color: names hex RGB HSL and gradients,"Cover the four color formats used in CSS: named colors (red, steelblue, transparent, currentColor), hex codes (#RRGGBB and shorthand #RGB, with alpha channel via 8-digit #RRGGBBAA), RGB and RGBA using rgb() and rgba() functions where alpha is 0 to 1, and HSL and HSLA using hsl(hue, saturation%, lightness%) which is ideal for creating color variations by adjusting a single value. Cover when to use each format: hex for design system color tokens, HSL for programmatic color manipulation and creating light/dark variants, named colors only for prototyping. Introduce gradients as CSS values for the background property: linear-gradient (direction, color stops) and radial-gradient. Cover background-image, background-size (cover fills container and crops, contain fits inside without cropping), background-position, and background-repeat for image backgrounds.","Student can define colors in all four formats, choose the appropriate format for the context, and apply gradient and image backgrounds using background properties.","Color Theme Cards: build four styled div cards each using a different color format for its background. Add a linear-gradient to a hero-style banner. Apply a background image with background-size: cover to a card and observe how it fills the container.","Chatbot Color System: define a dark-theme color palette for the chatbot using HSL values for primary background, surface (message bubble), accent (send button), primary text, and muted text. Apply them throughout the stylesheet. Add a subtle linear-gradient to the header background."
Typography: fonts sizes weights line-height and web fonts,"Cover font-family with system font stacks and multiple fallbacks ending in a generic family (serif, sans-serif, monospace). Cover font-size with rem units. Cover font-weight with numeric values 100 to 900 and named values bold and normal. Cover line-height for readability with unitless values preferred (1.5 is a standard body text baseline). Cover letter-spacing for headings and UI labels. Cover text-transform (uppercase, capitalize, lowercase). Cover text-decoration for links (underline, none, line-through). Cover text-align (left, right, center, justify). Introduce Google Fonts as the standard way to load custom web fonts: the link tag method vs @import in CSS, and the performance consideration of requesting only the weights actually used. Cover @font-face briefly as the mechanism behind font services and for self-hosted fonts.","Student can style text comprehensively using font-family, font-size, font-weight, line-height, and spacing, and can load and apply a custom web font from Google Fonts.","Typography Scale: create a page showing h1 through h6 and a paragraph, each with explicitly set font-size, font-weight, and line-height using rem units. Load a Google Font and apply it. Adjust letter-spacing on the heading and compare with and without.","Chatbot Typography: load a clean sans-serif web font from Google Fonts (such as Inter or DM Sans). Apply it to the entire chatbot. Set a type scale: h1 for the bot name, smaller sizes for sender names, timestamps, and message text. Set appropriate line-height on message text for readability. Style nav links with text-decoration: none and a :hover state."
Cascade Specificity and Inheritance,"Explain the cascade: when two or more rules target the same element and property, CSS resolves the conflict using three factors in order of priority: origin (user-agent stylesheet vs author stylesheet vs inline styles), specificity (how precisely a selector targets an element), and source order (later rules override earlier ones at equal specificity). Cover specificity calculation: type selectors score 0-0-1, class selectors and pseudo-classes score 0-1-0, ID selectors score 1-0-0, inline styles score 1-0-0-0. Specificity scores are compared column by column left to right. Cover the !important declaration: what it does, why it exists as a last resort, and why it is almost always a symptom of a specificity architecture problem and should be avoided. Cover inheritance: some properties (font-family, color, line-height) are naturally passed down to child elements. Others (padding, margin, border, background) are not inherited by default. Cover the keyword values inherit, initial, and unset.","Student can predict which CSS rule applies when multiple rules target the same element, calculate specificity scores for given selectors, and understand which properties are inherited and which are not.","Specificity Showdown: given a provided HTML page with multiple conflicting CSS rules, predict which color will render on each element before checking in the browser. Then resolve all conflicts by adjusting selectors rather than using !important.","Chatbot Specificity Audit: review the chatbot stylesheet and identify any unintended style overrides or rules that rely on source order alone. Restructure rules that would be clearer with a more specific selector. Confirm no !important declarations exist."
Chapter 8: The Box Model and Layout Foundations,,,,
The Box Model: content padding border and margin,"Introduce the box model as the foundational mental model for how every HTML element occupies and interacts with space. Every element is a rectangular box with four layers: content (the actual text or media), padding (transparent space between content and border, affected by background-color), border (the visible outline around padding, with shorthand syntax width style color), and margin (transparent space outside the border that creates distance from other elements, not affected by background-color). Cover margin and padding shorthand: one value (all sides), two values (top-bottom and left-right), three values (top, left-right, bottom), four values (top, right, bottom, left clockwise). Cover border shorthand and individual side properties. Cover border-radius for rounded corners. Introduce the browser DevTools box model visualizer as the primary debugging tool for spacing issues.","Student understands the box model completely, can set padding, border, and margin with shorthand and individual-side properties, and can use the DevTools box model panel to inspect the computed spacing of any element.","Box Model Explorer: build a card component and apply progressively larger padding, border, and margin values while watching the DevTools box model diagram update in real time. Observe how each layer affects the element's total rendered size and its relationship with neighbouring elements.","Chatbot Message Bubbles: style the chat message bubbles using padding for internal spacing, border-radius for rounded corners, and margin-bottom for spacing between messages. Open DevTools on a message bubble and verify each layer of the box model is correct."
box-sizing Display Width Height and Overflow,"Cover the default box-sizing: content-box behavior where padding and border are added on top of the declared width, making the total rendered size unpredictable. Introduce box-sizing: border-box where padding and border are included within the declared width, making the element render exactly at the declared size. Establish the universal selector reset (* { box-sizing: border-box }) as the standard opening rule in every stylesheet. Cover the display property: block (takes full width, starts on a new line, accepts width and height), inline (flows within text, ignores width and height, only takes content width), inline-block (flows within text but accepts width, height, and vertical padding), none (removes element from layout entirely, unlike visibility: hidden which hides but preserves space). Cover width, min-width, max-width, height, min-height, max-height and their interaction with content. Cover overflow: visible (default, content spills out), hidden (clips overflow), scroll (scrollbar always shown), auto (scrollbar only when content overflows).","Student can explain the difference between content-box and border-box sizing, apply the universal border-box reset, use display values correctly for different layout needs, and control overflow behavior.","Sizing Comparison: build identical-looking cards first with content-box then with border-box. Add explicit width and padding to both and use DevTools to measure the actual rendered widths to see the difference. Then build a fixed-height container with overflow: auto containing enough content to require scrolling.","Chatbot Chat Window: apply the universal box-sizing reset at the top of style.css. Set the chat message window to a fixed height with overflow-y: auto so messages scroll inside the window rather than growing the page. Apply max-width to the overall chatbot container and center it using margin: 0 auto."
