Topic,Description,Learning Outcome,Activity
Chapter 1: Internet & WWW ,,,
The Internet vs. the WWW,Clear up the most common misconception upfront — that 'internet' and 'web' are the same thing. Use the highway-vs-shops analogy: the internet is the global road network of cables and satellites; the WWW is all the websites (shops) built on top of it. End with the course hook: this course is about building those shops.,Student can confidently explain the difference between the internet and the WWW using a real-world analogy.,"Quick-fire tag: 5 everyday scenarios (opening a webpage, sending email, WhatsApp call, Google search, FTP upload) — student labels each as 'Internet' or 'WWW' and explains why."
Websites as the Building Blocks of the WWW,"Zoom into what a website actually is: a collection of files (HTML, CSS, JS) sitting on a computer somewhere, served to anyone who asks. Tease the three-layer model — structure, style, behaviour — without going deep yet. Close with: every site you have ever used was built with exactly these three things.","Student understands that a website = files on a server, and knows the course will teach them to build those files.","Web Archaeology: compare a well-known site (Amazon or Wikipedia) in 2005 vs today using the Wayback Machine. Note 3 structural or visual changes — no coding, just observation."
Chapter 2: You Click a Link : What Happens? ,,,
The Journey Begins — Client Side (Visual / Story-driven),"Story-first, visual reading. Follow a single click from the moment the user hits Enter: browser parses the URL, checks its cache, asks the OS to resolve the address, and hands the request to the network. Intentionally light on jargon — the goal is a strong intuitive mental model before the technical detail in the next topic.","Student can narrate the client-side journey in plain English, step by step, without needing technical terms.","Request Detective Pt 1: open DevTools → Network tab on any site. Find the very first request. Screenshot and label: URL, method, status code. No explanation needed yet — just observation."
"Under the Hood — URLs, DNS & the Handshake","Now go technical. Dissect a full URL segment by segment: scheme, domain, path, query string, fragment. Explain DNS as the internet's phonebook — translating a domain name into an IP address. Introduce the TCP handshake at a conceptual level (three steps, no packet depth). End: the request is now travelling toward a server.",Student can break any URL into its named parts and explain what DNS does in one sentence.,"URL Dissector: 5 URLs of varying complexity (subdomain, query string, hash, port, path). Student labels every segment. Bonus: look up the DNS record for a domain using a public tool like nslookup.io."
Chapter 3: The Server Receives Your Request ,,,
What Is a Server? — Concept & Analogy,"Demystify the server: it is just a computer, always on, waiting for requests. Use the restaurant analogy — client = diner, server = kitchen, database = pantry. Walk through the server's decision loop: receive request → determine what is needed → fetch from DB if required → prepare and send response. Introduce HTTP methods intuitively: GET = asking for something, POST = sending something.",Student can describe what a server does using the restaurant analogy and distinguish GET from POST intuitively.,"Role Play: given 5 user actions (load homepage, submit login, search for a product, upload a photo, log out), student labels each GET or POST and writes one sentence on what the server probably does."
"HTTP, Status Codes & the Response","Introduce HTTP as the agreed language client and server use to talk. Show the structure of an HTTP response: status line, headers, body. Make status codes memorable with real examples: 200 OK, 301 Moved, 404 Not Found, 500 Server Error. Annotate a raw HTTP response visually — every part labelled. Close: the server has packaged HTML, CSS, and JS files and sent them back.","Student can read a basic HTTP response, identify its parts, and know what the most common status codes mean.","Request Detective Pt 2 (DevTools): inspect 5 requests across 2 different sites. Log method, status code, content-type, and response time for each. Find one redirect and one failed request."
Chapter 4: The Browser Builds the Page ,,,
From Files to Pixels — the Rendering Pipeline,"Walk through what the browser does once it has the files: parse HTML → build DOM → parse CSS → build CSSOM → merge into Render Tree → Layout → Paint. Keep it conceptual, no code. Use a pipeline diagram. Land the mental model: HTML is the skeleton, CSS is the skin, JS is the muscles.",Student understands the browser's rendering pipeline conceptually and knows what the DOM is.,"DOM Explorer: open DevTools → Elements tab on any site. Find 10 elements, note the tag name and 2 CSS properties for each. Mark which are block-level and which are inline. No coding."
The Browser as a Platform & Intro to DevTools,"Reframe the browser: not just a viewer but a full runtime environment that executes JS, manages storage, and handles events. Quick tour of the three most useful DevTools tabs: Elements, Console, Network. Module close-out: recap the complete journey from URL typed to page painted. Teaser: everything you see in a browser comes from HTML, CSS, and JS — and that is exactly what you will build next.",Student can use Elements and Console tabs in DevTools with confidence and can narrate the full request-to-render journey end to end.,"Full Journey Map: student draws the complete request-response-render cycle (on paper or Excalidraw), labelling every stage covered across the module. This is the module capstone — can be used as a graded check-in."
