Topic,Description,Learning Outcome,Activity,Project
Chapter 20: The DOM — Selecting Modifying and Creating Elements,,,,
The DOM and Element Selection,"Establish what the DOM is before introducing any API. The browser does not read HTML as a string after the page loads — it converts it into a tree of live objects called the Document Object Model, where every tag becomes a node and every node is a JavaScript object with properties and methods. Cover document as the entry point to the entire tree. Cover the four primary selection methods: getElementById(id) which returns a single element or null, querySelector(selector) which accepts any valid CSS selector and returns the first matching element or null, querySelectorAll(selector) which returns a static NodeList of all matches, and getElementsByClassName / getElementsByTagName which return live HTMLCollections (note the live vs static distinction). Cover how to traverse the tree using parentElement, children, firstElementChild, lastElementChild, nextElementSibling, and previousElementSibling. Cover document.documentElement for the root html element and document.body for the body. Establish the mental model: the DOM is the live representation of the page — change the DOM and the page changes immediately.","Student can explain what the DOM is, select elements using all four selection methods, explain the difference between a live HTMLCollection and a static NodeList, and traverse parent-child-sibling relationships in the tree.","Selection Lab: given an HTML page with a navbar, three cards, a form, and a footer, write selection code for each of the following without changing the HTML: select the second card by position using querySelectorAll and bracket notation, select all elements with a given class, select the parent of a specific button, select the next sibling of a heading, select the last child of the card container. Log each to the console and verify type using instanceof.","Chatbot DOM Wiring: open the chatbot HTML file built during the CSS module. Using querySelector and querySelectorAll, select and log every major element: the message list, the input field, the send button, the settings panel. Confirm each selection returns the expected element. This file will grow across all three chapters into the fully wired chatbot interface."
Modifying Elements: Text Attributes Styles and classList,"Cover the two properties for reading and writing element content. textContent: reads and sets the raw text of an element and all its descendants — safe, never parsed as HTML, never creates XSS risk. innerHTML: reads and sets the HTML markup inside an element — powerful but dangerous when used with user-supplied content because the browser parses the string as HTML and executes any embedded script. Establish the rule: use textContent for text content, use innerHTML only for trusted static markup. Cover attribute access: element.getAttribute(name) to read any attribute, element.setAttribute(name, value) to set, element.removeAttribute(name) to remove, and element.hasAttribute(name) to check. Cover direct property access for common attributes: element.id, element.href, element.src, element.alt, element.value, element.checked — these are properties, not attributes, and may differ from getAttribute in edge cases. Cover inline style modification using element.style.propertyName in camelCase — note this creates an inline style that overrides the stylesheet. Cover classList as the preferred way to apply CSS changes: classList.add(name), classList.remove(name), classList.toggle(name) which adds if absent or removes if present, classList.contains(name) returning a boolean, and classList.replace(oldName, newName). Establish the pattern: never modify styles directly for behavioral state changes, add and remove classes instead — the CSS defines what each class looks like.","Student can safely read and write element content using textContent, explain why innerHTML is dangerous with user input, access and modify attributes using both methods, and apply class-based style changes using classList.","Modification Lab: build a live character counter for a textarea that updates a counter element using textContent on each input event. Add a button that toggles a dark-mode class on the body using classList.toggle. Build a card component where clicking a heart button toggles a liked class and changes the button text between Like and Liked using textContent. Use getAttribute and setAttribute to dynamically change the href of a link based on a dropdown selection.","Chatbot DOM Wiring: write a renderMessage(sender, text) function that creates a message string and appends it to the message list using textContent (never innerHTML). Add a function toggleTypingIndicator(visible) that adds or removes a typing class on the bot avatar using classList.toggle. Add a setInputDisabled(disabled) function that sets the disabled attribute on the send button and input field during bot response."
Creating Appending and Removing Elements Dynamically,"Cover the three-step pattern for adding new content to the page: create an element with document.createElement(tagName), configure it by setting its textContent, attributes, and classes, and attach it to the DOM with a method that specifies where it goes. Cover the insertion methods: element.append(...nodes) adds one or more nodes or strings to the end of the element's children, element.prepend(...nodes) adds to the beginning, element.before(node) inserts before the element itself (as a sibling), element.after(node) inserts after. Cover element.appendChild(node) as the older single-child-only version of append. Cover element.remove() for removing an element from the DOM entirely, and element.removeChild(childNode) as the older equivalent. Cover element.replaceWith(newNode) for replacement. Cover cloneNode(deep): cloneNode(false) clones the element without its children, cloneNode(true) clones the full subtree. Cover insertAdjacentHTML(position, html) for inserting HTML strings at specific positions without replacing existing content — positions are beforebegin, afterbegin, beforeend, afterend. Establish the document fragment pattern for inserting many elements efficiently: build the full tree in a DocumentFragment and insert it once to minimize browser reflows.","Student can create elements with all necessary properties, insert them at any position in the DOM using the full insertion API, remove elements, clone subtrees, and use DocumentFragment for batch insertions.","Dynamic List Builder: build a tag-input component where typing a word and pressing Enter creates a new tag element (a span with text and a remove button), appends it to a tag container, clears the input, and focuses it again. Each tag's remove button removes only that tag using element.remove(). Use cloneNode to implement a duplicate button that copies an existing tag. Build the entire list using a DocumentFragment when loading an initial set of tags from an array.","Chatbot DOM Wiring: write a createMessageElement(sender, text, timestamp) function that builds a full message DOM node — the outer container div, inner avatar img, bubble div, sender span, text paragraph, and timestamp span — all created with createElement, configured, and assembled before a single append to the message list. This replaces the string-based renderMessage from the previous article. Confirm the output matches the BEM class structure from the CSS module."
Chapter 21: Events Event Delegation Form Handling and Interactive Components,,,,
addEventListener and the Event Object,"Cover the event-driven programming model: rather than code running top to bottom once, browser code waits for user actions and responds. Cover addEventListener(eventType, handler): attaches a function that runs every time the named event fires on that element. Cover removeEventListener: requires the same function reference — anonymous functions registered inline cannot be removed. Cover the event object passed automatically to every handler: event.type is the event name, event.target is the element the event actually fired on, event.currentTarget is the element the listener is attached to (same as this inside a regular function handler), event.preventDefault() stops the browser's default behavior (like form submission or link navigation), event.stopPropagation() stops the event from propagating further up the tree. Cover the most commonly used event types: click for pointer interaction, keydown and keyup for keyboard (event.key gives the key name, event.code gives the physical key), input for live text field updates, change for when an input loses focus after modification, submit for form submission, focus and blur for focus state changes, mouseenter and mouseleave for hover without bubbling, mouseover and mouseout with bubbling. Cover the load and DOMContentLoaded events on document and window for knowing when the page is ready.","Student can attach and remove event listeners using named function references, access the event object properties, distinguish target from currentTarget, call preventDefault and stopPropagation when appropriate, and choose the correct event type for each interaction.","Event Explorer: build a keyboard shortcut manager that logs the pressed key and its code to a panel on every keydown. Use event.key to detect Enter, Escape, and arrow keys and log a specific action for each. Build a color preview box that changes its background to the value of a color input in real time on the input event. Use DOMContentLoaded to ensure all DOM setup code runs only after the HTML is fully parsed.","Chatbot DOM Wiring: attach a click listener to the send button that reads the input value, validates it using the validateMessage function from chatbot-logic.js, and calls renderMessage if valid. Attach a keydown listener to the input field that triggers the same action when the Enter key is pressed without Shift held (Shift+Enter should add a newline). Clear and refocus the input after each send."
Event Delegation and Bubbling,"Establish the bubbling mechanism first: when an event fires on an element it propagates upward through every ancestor until it reaches the document. A click on a button inside a div also triggers click listeners on that div, its parent, and every ancestor. This is not accidental — it is the foundation of event delegation. Cover event delegation: instead of attaching a separate listener to each child element, attach one listener to their common parent. Inside the handler, use event.target to check which specific child was clicked. This is not just a performance optimization — it is the only correct approach for dynamically created elements, because elements added to the DOM after a listener was registered did not exist when the listener ran and therefore have no listeners of their own. Cover event.target.closest(selector): walks up the DOM from the event target looking for the nearest ancestor matching the selector — this is how to safely find the card, list item, or component root when the click landed on an inner child. Cover event.target.matches(selector) for checking if the target itself matches a condition. Cover stopPropagation and why overusing it causes bugs — intercepting propagation breaks any parent listener that was legitimately waiting for the event. Cover capturing phase vs bubbling phase: listeners fire during bubbling by default, setting the third addEventListener argument to true enables capturing.","Student can explain event bubbling, implement event delegation on a parent element, use event.target.closest() to find the nearest matching ancestor, and explain why delegation is required for dynamically created elements.","Delegation Practice: build a comment section where a container holds dynamically added comments, each with a reply button, a delete button, and a like button. Attach exactly one click listener to the container. Use event.target.closest() inside the handler to determine which button was clicked and which comment it belongs to. Add new comments dynamically and verify that the single parent listener handles their buttons without any additional setup.","Chatbot DOM Wiring: replace any per-message event listeners with a single delegated listener on the message list container. Handle message-level interactions (copy text, timestamp hover reveal) via event.target.closest('.message'). This ensures dynamically created messages from the previous article work immediately without re-registering listeners every time a message is added."
Form Handling and Validation,"Cover the submit event on a form element: fires when the user submits by button click or Enter key inside an input. Always call event.preventDefault() first to stop the browser from reloading the page. Cover accessing form values: input.value for text inputs (always a string), parseInt or parseFloat to convert numeric input values, input.checked for checkboxes and radio buttons, select.value for dropdowns, textarea.value for multi-line text. Cover the FormData API for gathering all field values at once: new FormData(formElement), formData.get(name), formData.getAll(name) for multi-value fields, and iteration using for...of. Cover constraint validation: the browser's built-in validation attributes (required, minlength, maxlength, pattern, type=email, type=number min max) and the validity object exposed on each input — validity.valid, validity.valueMissing, validity.tooShort, validity.patternMismatch. Cover setCustomValidity(message) for custom validation messages and reportValidity() to trigger the browser's native error display. Cover real-time validation by listening to the input event and updating error messages while typing versus submit-time validation. Cover the accessibility implications: error messages should be linked to their input with aria-describedby.","Student can handle form submission without page reload, extract all input values correctly for each input type, use the FormData API, implement both constraint validation and custom validation, and provide real-time error feedback.","Form Validation Lab: build a multi-field registration form (name, email, password with confirm, age) with the following constraints: name required and at least 2 characters, email valid format, password at least 8 characters with one number, confirm must match password, age must be a number between 13 and 120. Show inline error messages per field in real time on the input event. On submit, if all valid, display a success summary of the entered data. Use setCustomValidity for the password match check.","Chatbot DOM Wiring: the chatbot input bar is a form element. Refactor the send logic to use a form submit event rather than a click listener on the button — this automatically handles both button click and Enter key submission and correctly calls preventDefault. Add validation feedback: show a character count approaching the limit and display an error message if the input fails validateMessage."
State-Based Interactive Components and localStorage,"Establish the problem first: when multiple parts of the UI need to reflect the same data, reading from and writing to the DOM directly leads to bugs — the DOM becomes both the store and the display of data simultaneously, and they fall out of sync. Introduce the state-first pattern: define application state as a plain JavaScript object, write a render function that builds the DOM purely from that state, and update only the state when something changes then call render. The DOM is now a consequence of the state, not a source of truth. Cover the re-render pattern: on each state update, the render function either rebuilds the UI section from scratch or surgically updates only what changed. Cover localStorage for persisting state across page refreshes: localStorage.setItem(key, value) stores strings only, so objects require JSON.stringify before storing and JSON.parse after reading. localStorage.getItem(key) returns null if the key does not exist — always handle this case. localStorage.removeItem(key) deletes one entry, localStorage.clear() deletes all. Cover loading persisted state on DOMContentLoaded: initialize the state object from localStorage if data exists, otherwise use default values. Establish the save-on-update pattern: every time state changes, serialize and save to localStorage.","Student can implement the state-first rendering pattern where the DOM is derived from a state object, write a render function that reflects any state change, and persist application state to localStorage using JSON serialization.","State and Storage: build a Kanban board with three columns (To Do, In Progress, Done). Model the board state as an object with three arrays of task strings. Write a renderBoard() function that clears and rebuilds all three columns from the state object. Add tasks via a form that pushes to the appropriate array and calls renderBoard. Add drag-and-drop between columns that mutates state and re-renders. Persist the entire board state to localStorage so it survives a page refresh.","Chatbot DOM Wiring: model the chatbot session as a state object: {messages: [], inputValue: '', isLoading: false, error: null}. Write a renderChat() function that rebuilds the message list from state.messages using the createMessageElement function. Update state on every user action and call renderChat. Persist the messages array to localStorage so the conversation history survives a page refresh and loads automatically on DOMContentLoaded."
Chapter 22: Connecting to Real Data — fetch async/await and Error Handling,,,,
