Topic,Description,Learning Outcome,Activity,Project
Chapter 23: Version Control with Git and GitHub,,,,
What is Version Control and How Git Works,"Establish the problem before introducing Git: a developer working without version control saves files like homepage_final.html, homepage_final_v2.html, homepage_ACTUALLY_FINAL.html. There is no clear history of what changed and when, no way to undo a specific change without losing everything after it, and no safe way to try something new without risking the working version. Version control solves all three. Cover what version control is: a system that records every change made to a set of files over time so that any earlier state can be recovered. Cover Git specifically: a distributed version control system where every developer has a complete copy of the entire history on their own machine, not just the current files. Cover the key concepts before any commands: a repository (repo) is the folder Git is tracking; a commit is a named snapshot of the project at a specific moment; the working directory is the actual files on disk; the staging area (also called the index) is a preparation zone where changes are gathered before being committed; HEAD is a pointer to the current commit the working directory reflects. Explain Git's three-area model visually: working directory -> staging area -> repository. Cover the Git object model lightly: Git stores content, not diffs -- each commit is a complete snapshot, and Git uses hashing to deduplicate unchanged files efficiently. Cover the difference between Git (the version control tool) and GitHub (a cloud hosting service for Git repositories): Git works entirely locally; GitHub is where repositories are shared and backed up.","Student can explain what version control is, why it is necessary, what a commit and repository are, describe Git's three-area model (working directory, staging, repository), and distinguish between Git and GitHub.","Mental Model Check: without touching the terminal, answer the following in writing: what is a repository, what is a commit, what is the difference between the working directory and the staging area, why would you stage changes before committing rather than committing directly from the working directory, and what problem would exist if Git stored diffs instead of snapshots. Then open the browser and look at any public GitHub repository -- identify the commit history, read the last five commit messages, and find the specific file that changed in the most recent commit.","Course Deployment Project: the final goal of this module is to take the chatbot project built across the HTML, CSS, and JavaScript modules and deploy it as a live public URL. This chapter sets up Git tracking for that project. Every article in this chapter adds to the same repository and workflow."
The Core Git Workflow: Staging Committing and History,"Cover git init to initialize a new repository in a folder: creates the hidden .git directory that stores all version history. Cover git status to see the current state of the working directory and staging area: untracked files, modified tracked files, and staged changes. Cover git add: git add filename stages a specific file, git add . stages all changes in the current directory and subdirectories. Explain why staging exists as a separate step: it lets you craft a commit that contains exactly the changes you intend, even if multiple files were modified -- you choose what goes into this snapshot. Cover git commit -m 'message' to create a commit from whatever is staged. Cover what happens if no message is provided (editor opens). Cover git log to see the commit history: each commit has a unique SHA hash, author, date, and message. Cover git log --oneline for a compact view. Cover git diff to see unstaged changes, git diff --staged to see staged changes not yet committed. Cover git restore filename to discard unstaged changes in a file (this is destructive -- the file reverts to the last committed state). Cover git restore --staged filename to unstage a file without losing the working directory changes. Cover .gitignore: a file listing patterns of files Git should never track -- node_modules, .env files with secrets, .DS_Store on Mac, build output folders. Explain glob patterns: * for any characters, / for directory separator, ! to un-ignore a pattern.","Student can initialize a repository, stage specific files or all changes, commit with a descriptive message, read the commit log, view diffs, discard changes safely, and configure .gitignore for common file patterns.","Git Workflow Drill: create a new folder and initialize a repository. Create three files: index.html, style.css, and notes.txt. Stage only index.html and style.css (not notes.txt) and commit with a message. Modify both files and add a new script.js. Stage all three and commit. Then make a change to index.html that you decide you do not want -- restore it without losing the other file changes. Use git log --oneline to confirm the two commits exist. Create a .gitignore that excludes notes.txt and any file ending in .log, then verify git status no longer shows those as untracked.","Course Deployment Project: initialize a Git repository inside the chatbot project folder. Create a .gitignore that excludes any editor configuration files, .DS_Store, and any future node_modules folder. Stage and commit all existing files (HTML, CSS, chatbot-logic.js, script.js) in a single initial commit with the message 'Initial commit: chatbot project'. Run git log to confirm the commit exists."
GitHub: Remote Repositories Push Pull and Clone,"Establish the motivation: a local Git repository is safe for personal history but exists only on one machine. If the machine is lost, the history is gone. GitHub is where repositories live on the cloud -- accessible from any machine, shareable with collaborators, and the source of truth for the project. Cover creating a new repository on GitHub: public vs private, whether to initialize with a README (when not to: if the local repo already has commits). Cover git remote add origin url: links the local repository to a GitHub repository. origin is the conventional name for the primary remote. Cover git push -u origin main: pushes the local commits to GitHub for the first time. The -u flag sets the upstream tracking relationship so future git push and git pull work without specifying the remote and branch. Cover git push for subsequent pushes once upstream is set. Cover git pull to fetch and integrate remote changes into the local branch -- combines git fetch (download the remote state) and git merge (integrate into the current branch). Cover git clone url to copy an existing remote repository to a new local machine -- creates the folder, copies all files, and sets up the remote automatically. Cover authenticating with GitHub: HTTPS with a personal access token (PAT) or SSH with a key pair. Walk through generating a PAT from GitHub settings. Cover the README.md as the front page of a GitHub repository: what to include (project name, description, what it does, how to run it, technologies used).","Student can create a GitHub repository, connect a local repository to it with git remote add, push and pull commits, clone an existing repository, authenticate with GitHub using a PAT, and write a basic README.","Remote Workflow: create a GitHub account if not already done. Create a new empty repository on GitHub. Connect the local chatbot repository to it using git remote add. Push the initial commit. Verify the files appear on GitHub. Make a small change to the README on GitHub directly using the web editor. Pull that change to the local machine using git pull. Confirm the README change appears locally. Then simulate working from a second machine by cloning the repository into a new folder and verifying all files are present.","Course Deployment Project: push the chatbot repository to GitHub. Write a README.md that describes the chatbot: what it does, which technologies were used (HTML, CSS, JavaScript, the API), and a placeholder for the live demo URL (to be filled in after deployment). Commit the README and push. The repository is now live on GitHub and ready for deployment."
Branching and Merging for the Solo Developer,"Establish the problem branching solves even for a solo developer: you have a working deployed project and want to try a new feature. If you build it directly on the main version and it breaks something, the working version is now broken too. A branch is a separate line of development that diverges from the main line at a specific point, allowing work to proceed in isolation until it is ready. Cover git branch to list existing branches and git branch branchname to create a new branch. Cover git switch branchname to move to a branch (the modern command, replacing git checkout -b for this purpose). Cover git switch -c branchname to create and switch in one step. Cover what HEAD means in the context of branching: HEAD points to the current branch tip. Cover how commits made on a branch do not appear on other branches. Cover git merge branchname to integrate a branch back into the current branch. Cover the fast-forward merge: when the base branch has no new commits since the branch was created, Git simply moves the base branch pointer forward to the tip of the feature branch -- no merge commit needed. Cover the three-way merge: when both branches have diverged, Git creates a new merge commit that combines both lines of history. Cover merge conflicts: when both branches modified the same lines of the same file, Git cannot choose automatically and marks the file with conflict markers (<<<, ===, >>>). The developer resolves the conflict by editing the file to the desired result, then staging and committing. Cover git branch -d branchname to delete a branch after merging.","Student can create and switch between branches, understand what HEAD points to at each step, perform a fast-forward merge, perform a three-way merge, resolve a basic merge conflict manually, and delete merged branches.","Branching Drill: on the chatbot repository, create a branch called feature/dark-mode. Make two commits on it that change the CSS custom properties to a different color scheme. Switch back to main -- confirm the CSS is unchanged. Merge feature/dark-mode into main using a fast-forward merge. Create a second branch from main called experiment/new-layout, make a commit. Without merging, switch back to main and make a different commit on main. Now merge experiment/new-layout into main -- this will create a three-way merge commit. Manually create a conflict by editing the same line in both branches before merging, resolve it, and complete the merge.","Course Deployment Project: create a branch called feature/api-integration for any remaining API integration work. Complete the work on the branch, merge it into main, and push main to GitHub. The main branch is now the clean final version of the project."
Team Concepts Overview: Pull Requests Forking and Collaboration,"This article is intentionally conceptual. Students are not required to implement these workflows -- they are being introduced to the vocabulary and mental model so they can read documentation, job descriptions, and team guidelines without confusion. Cover pull requests (PRs): when working in a team, developers do not merge their own branches into main directly. Instead, they push their branch to GitHub and open a pull request -- a formal request for the branch to be reviewed and merged. Teammates leave comments on specific lines of code, request changes, and approve the merge once the code is ready. Cover the PR workflow: fork or branch, commit, push, open PR, review, address feedback, approve, merge. Cover forking: a fork is a personal copy of someone else's repository on GitHub. Developers fork public repositories to make changes without affecting the original, then open a pull request from their fork back to the original repository. This is the standard contribution model for open source projects. Cover code review as a practice: what reviewers look for (correctness, clarity, performance, security, consistency with existing patterns), how to give constructive feedback, and how to receive and respond to it. Cover git fetch vs git pull: fetch downloads remote changes without integrating them, letting you inspect before merging -- useful in team contexts. Cover rebase in one paragraph: an alternative to merge that rewrites commit history to appear linear, used in some teams to keep history clean. Note that rebase rewrites commits and should not be used on shared branches -- this is why it is mentioned but not practiced here. Cover git stash: temporarily shelves uncommitted changes so you can switch branches cleanly, then applies them back with git stash pop.","Student can explain what a pull request is and why teams use them instead of direct merges, describe the open source contribution model using forks, explain the difference between fetch and pull, and understand what rebase does conceptually without being required to use it.","PR Simulation: on GitHub, open a pull request from the feature/dark-mode branch to main (re-create the branch if already merged). Write a PR description explaining what changed and why. Read the PR diff view on GitHub -- leave a comment on a specific line as if reviewing someone else's code. Merge the PR from the GitHub interface rather than the terminal. Then find one public open source project on GitHub and read its contribution guidelines (CONTRIBUTING.md if it exists) -- identify whether it uses fork-based or branch-based workflow and what the PR requirements are.","Course Deployment Project: open a pull request on GitHub for any final cleanup changes before deployment. Write the PR description as you would in a professional setting: what changed, why, and how to test it. Merge it via the GitHub interface. Main is now clean and ready to deploy."
Git Best Practices: Commit Messages Atomic Commits and Workflow Habits,"Cover commit message quality as a professional habit. A commit message answers the question: what does this change do and why? The subject line should be concise (under 72 characters), written in the imperative mood (Add login form, Fix button alignment, Remove unused CSS variable -- not Added, Fixes, Removing). Cover conventional commits as a widely adopted standard: a prefix indicates the type of change -- feat: for new features, fix: for bug fixes, docs: for documentation, style: for formatting, refactor: for restructuring, test: for test additions, chore: for maintenance. A complete conventional commit looks like feat: add typing indicator to chatbot input. Cover atomic commits: each commit should represent one logical unit of change -- one feature, one fix, one refactor. A commit that changes the navbar, fixes a CSS bug, and adds a new API call is three separate commits, not one. Atomic commits make it possible to revert a specific change without undoing unrelated work. Cover what not to commit: secrets and API keys (even if removed in a later commit, the key is still visible in history), generated files that can be recreated (node_modules), editor and OS files (.DS_Store, .vscode). Cover branch naming conventions: descriptive and hyphenated (feature/user-auth, fix/broken-submit, chore/update-gitignore). Cover the habit of committing frequently while working: small, frequent commits are easier to understand and revert than large infrequent ones. Cover how to write a good README as repository presentation: project title, one-paragraph description, screenshot or demo GIF, technologies used, how to run locally, live demo link.","Student can write conventional commit messages in the imperative mood, commit changes atomically rather than bundling unrelated changes, configure .gitignore correctly for secrets and generated files, and write a complete README for a project.","Commit Quality Audit: given a list of 10 vague commit messages (fixed stuff, updates, final changes, working now), rewrite each as a conventional commit following the imperative mood and type prefix format. Then review the commit history of the chatbot repository -- identify any commits that bundled multiple unrelated changes and rewrite the messages as they should have been. Check the .gitignore for any missing patterns. Polish the README: add a screenshot of the chatbot, a technologies section, and the live demo link placeholder.","Course Deployment Project: review all commits on the chatbot repository and ensure commit messages follow conventional commit format. Confirm the .gitignore is complete. The repository is now in professional shape for the portfolio: clean commit history, descriptive messages, proper .gitignore, and a complete README."
Chapter 24: Deployment,,,,
Deploying with GitHub Pages,"Establish the goal: the chatbot project currently only runs locally. Deployment means publishing the project to a URL that anyone on the internet can open. Cover what GitHub Pages is: a free static site hosting service built into GitHub that serves HTML, CSS, and JavaScript files directly from a repository. It works for any project that does not require a server to run -- which is exactly the chatbot project built in this course. Cover the two types of GitHub Pages sites: user sites (username.github.io, served from a special repository named username.github.io) and project sites (username.github.io/repository-name, served from any repository). The chatbot will be deployed as a project site. Cover enabling GitHub Pages: navigate to the repository settings on GitHub, find the Pages section, select the branch to deploy from (main), select the root folder or /docs folder, and save. GitHub builds and deploys the site automatically -- a URL appears within a minute. Cover what can go wrong: the page is blank because file paths in the HTML are wrong (relative paths work, absolute paths starting with / may break in a subdirectory context), assets are not loading because the filenames have different casing than the HTML references (GitHub Pages runs on Linux where filenames are case-sensitive, unlike Mac and Windows), the site shows an old version because GitHub Pages takes a minute to rebuild after a push. Cover updating a deployed site: push a new commit to the deployed branch -- GitHub Pages automatically rebuilds within a few minutes. Cover custom domains: GitHub Pages supports pointing a custom domain to the site by adding a CNAME record and a CNAME file to the repository -- introduce this briefly as an option without requiring it.","Student can enable GitHub Pages on a repository, explain the difference between user and project sites, deploy a static HTML/CSS/JavaScript project at a public URL, troubleshoot the common deployment failures (broken paths, case sensitivity, caching), and update the live site by pushing new commits.","Deploy the Chatbot: enable GitHub Pages on the chatbot repository. Visit the generated URL and confirm the chatbot loads and functions correctly. Debug any issues with paths or missing assets. Make one visible change to the chatbot (update the heading text or accent color), commit and push, and verify the live URL reflects the change within a few minutes. Add the live URL to the README and commit.","Course Deployment Project: the chatbot is now live at a public URL. Update the README with the actual live demo link. Share the URL and verify it loads on a phone browser. The project is deployed."
Deploying with Vercel and Wrapping Up the Course,"Cover why Vercel exists alongside GitHub Pages: GitHub Pages serves static files only and has no build step. Vercel is a deployment platform that automatically runs a build command before serving the site, which is necessary for projects that use a framework like React, Next.js, or any tool that compiles source files before deployment. For the chatbot project (pure HTML, CSS, and JS with no build step) GitHub Pages is sufficient. Vercel is introduced here so students know where to go when they move to frameworks. Cover the Vercel deployment workflow: create a Vercel account (sign in with GitHub), click New Project, import the GitHub repository, configure the build settings (for a plain HTML project, the build command is empty and the output directory is the repo root), and deploy. Vercel generates a URL immediately and redeploys automatically on every push to the main branch. Cover Vercel preview deployments: every branch pushed to GitHub gets its own preview URL automatically -- this is a key advantage over GitHub Pages for team workflows. Cover environment variables on Vercel: the settings panel where API keys are stored as environment variables instead of in the source code -- important for any project that uses a real API key. Conclude the course: students have built a complete web development foundation -- they understand how the internet works, can write semantic HTML, style with professional CSS including layout and responsive design, program in JavaScript, wire JavaScript to the browser, manage their code with Git, and deploy live projects. The path from here leads to a JavaScript framework (React or Vue), backend development, or deepening any of these foundations.","Student can deploy a project on Vercel by connecting a GitHub repository, explain when to use Vercel instead of GitHub Pages (projects with a build step), store API keys as environment variables rather than in source code, and articulate what each module of this course covered and where the learning path continues.","Vercel Deployment: deploy the same chatbot project on Vercel by importing the GitHub repository. Visit the Vercel-generated URL and confirm it is identical to the GitHub Pages deployment. Push a small change to main and verify Vercel redeploys automatically. Create a new branch, push it, and find the preview URL Vercel generated for the branch. If the project uses an API key, move it to a Vercel environment variable and confirm the deployed site still works.","Course Deployment Project: the chatbot is now deployed on both GitHub Pages and Vercel. The GitHub repository has a clean commit history with conventional commit messages, a complete README with both live URLs, and a proper .gitignore. This repository is portfolio-ready: any employer or collaborator can visit the GitHub page, read the README, open the live demo, and see the complete commit history showing how the project was built."
