Topic,Description,Learning Outcome,Activity,Project
Chapter 4: HTML Fundamentals,,,,
What is HTML? Markup Language and the Skeleton of the Web,"Introduce HTML as a markup language, not a programming language. Define what markup means: wrapping content in tags to give it meaning and structure. Briefly trace history from HTML 1.0 to HTML5, clarifying key differences: HTML5 introduced semantic elements, native audio/video support, canvas, and became the living standard. Break down the abbreviation HyperText Markup Language word by word. End with the mental model: HTML is the skeleton of every webpage, and this module teaches students to build that skeleton.","Student can explain what a markup language is, define HTML in their own words, and state at least three differences between HTML and HTML5.","Markup Hunt: open any website, right-click and select View Page Source. Find 10 HTML tags in the raw source. Note what each one seems to do based on its name alone. No explanation needed yet, just observation and inference.","Chatbot Wireframe: sketch the AI chatbot UI on paper or Excalidraw. The page needs four regions: a header (bot name and avatar), a scrollable chat message area showing the conversation, an input bar at the bottom (text field and send button), and a settings panel. Label every section and think about what HTML elements might map to each one. This sketch is the blueprint for the project built across the entire course."
Document Structure: DOCTYPE html head and body,"Walk through every line of the HTML5 boilerplate systematically. Explain DOCTYPE: it is a declaration, not a tag, telling the browser to use standards mode. Cover the html element as the root. Cover head vs body: head holds metadata (nothing visible), body holds everything the user sees. Cover what belongs in head: title (browser tab and SEO), charset meta tag (UTF-8 and why encoding matters for special characters), viewport meta tag (critical for mobile rendering, explain what happens without it), linking an external CSS file using the link tag, and loading an external JS file using the script tag placed at the end of body. Introduce self-closing/void elements concept here using meta and link as examples.","Student can write a valid HTML5 boilerplate from memory, explain the purpose of every line in it, and correctly place content in head vs body.","Boilerplate From Memory: close all references and write a complete HTML5 boilerplate from scratch in a text editor. Open it in a browser, verify no errors, confirm the title appears in the browser tab. Then add a meta description and a viewport tag and inspect the head in DevTools.","Chatbot Shell: create index.html for the AI chatbot project. Full HTML5 boilerplate with the title set to something like MyBot - AI Chat Assistant, correct charset and viewport meta, a meta description, a link tag placeholder for a future CSS file, and a script tag placeholder at the end of body. This single file will grow into the complete chatbot by the end of the HTML module and will be styled and made functional in the CSS and JS modules."
"Elements, Tags, Attributes, and HTML Comments","Define and clearly distinguish three terms: tag (the syntax in angle brackets), element (opening tag plus content plus closing tag), and attribute (a key-value pair inside the opening tag that modifies the element). Cover void/self-closing elements formally: br, hr, img, input, meta, link have no closing tag and no content. Introduce block-level vs inline elements as a foundational layout concept: block elements start on a new line and take full width (div, p, h1-h6, section), inline elements sit within text flow (span, a, strong, em, img). Introduce HTML comment syntax and when comments are appropriate. Briefly tie back to the DOM: each element in the HTML becomes a node in the DOM tree the browser builds.","Student can correctly identify and write elements, tags, and attributes. Understands the difference between block and inline elements and can correctly categorise at least 10 common elements into each group.","Tag Anatomy Lab: given a provided HTML snippet of 15 elements, students label every opening tag, closing tag, attribute name, attribute value, void element, block-level element, and inline element. No writing, only annotation and labelling.","Chatbot Blueprint: add HTML comments inside index.html to mark out every section of the chatbot: chat header area, chat messages area, input bar area, settings panel area. Add placeholder id and class attributes on the outermost containers of each region to establish the hooks that CSS and JavaScript will target later. The file is still empty visually but is now fully planned in code."
"Text Elements: Headings, Paragraphs, Formatting, and Special Characters","Cover h1 through h6 and their semantic hierarchy: h1 is the single most important heading on the page (only one per page), h2 through h6 nest under it. Cover the p tag for paragraphs. Cover inline text formatting tags with semantic distinction: strong (important, screen readers emphasise) vs b (visually bold, no semantic weight), em (stressed emphasis) vs i (italicised, no semantic weight). Cover mark (highlighted), del (deleted text), ins (inserted text), small (fine print), sup (superscript), sub (subscript). Cover br as a line break and hr as a thematic break (both void elements, revisiting the concept). Introduce HTML entities for special characters: ampersand (&amp;), copyright (&#169;), non-breaking space (&nbsp;), greater-than/less-than signs. Emphasise that HTML itself is written with ASCII but entities allow any character.","Student can structure text content using correct heading hierarchy, paragraphs, and appropriate semantic formatting tags, and can use HTML entities for at least three special characters.","Format a Biography: given a block of plain text (a short fictional person biography), students mark it up using appropriate heading levels, paragraphs, at least three different formatting tags, and two HTML entities. Render in the browser and compare with a provided expected output.","Chatbot Header and Welcome Message: add the chatbot header to index.html. Use h1 for the bot's name (for example Aiden AI), h2 for a tagline (Your Intelligent Assistant). Add a horizontal rule below the header. In the chat area, add the bot's opening welcome message as a paragraph: use strong for the bot's name inline and em for the actual welcome text. This is the first visible content of the chatbot."
"Lists: Ordered, Unordered, and Description Lists","Cover ul (unordered) and ol (ordered) with their li children. Explain when to use each: unordered for collections with no meaningful sequence, ordered for steps or rankings. Cover ol attributes: start (begin at a number other than 1) and reversed (count down). Cover dl for description/definition lists with dt (term) and dd (definition/description) pairs, useful for glossaries, FAQs, and key-value displays. Cover nested lists: a list inside a list item, with correct indentation. Show that anchor tags and images can live inside li elements as a natural teaser for the next topic.","Student can create ordered, unordered, and description lists, nest lists correctly, and select the appropriate list type based on the content's nature.","Navigation and Steps: create a nested unordered list representing a website's navigation with 3 top-level items each having 2 sub-items. Then separately create an ordered list of at least 6 steps for a how-to process of their choice. Both in a single HTML file.","Chat Message List: the chat message area is built as an unordered list where each message (user or bot) is a list item. Add 4 to 5 hardcoded sample li elements alternating between a simulated user message and a simulated bot reply. Inside each li nest the sender name and the message text. This list is the core structure that will be dynamically populated by JavaScript in the JS module. Add a description list in a separate info section listing the bot's capabilities: each capability as a dt and a one-line explanation as its dd."
Links and Images,"Cover the a (anchor) tag with the href attribute as the primary focus. Cover target attribute: _blank opens in a new tab, _self is the default. Cover rel='noopener noreferrer' when using target='_blank' and briefly explain the security reason. Cover internal page links using fragment identifiers (href='#section-id'). Cover mailto links for email. Add a Did You Know callout on relative vs absolute URLs: absolute includes the full domain, relative is a path from the current file, important once they start building multi-page sites. Cover the img tag with src and alt as required attributes. Emphasise that alt is not optional: it is read by screen readers and displayed when the image fails to load. Cover width and height attributes on img to prevent layout shift.","Student can create working hyperlinks of all types (external, internal fragment, email) with correct attributes, and can embed images with proper alt text.","Link and Image Gallery: create a page with 5 external links opening in new tabs with correct rel attributes, one fragment link that jumps to a section on the same page, one mailto link, and 3 images with descriptive alt text. Verify every link and image renders correctly.","Chatbot Avatar and Navigation Links: add a bot avatar image to the chatbot header using img with a descriptive alt attribute and explicit width and height. Add navigation links inside the header: a fragment link to the settings section, a Help link, and a Clear Chat placeholder linked to # for now. Add a footer below the chat area with a Powered by OpenAI link using target='_blank' and the correct rel attribute. The chatbot header is now visually and structurally complete."
Non-Semantic Containers: div and span,"Introduce div as the generic block-level container and span as the generic inline container. Establish clearly: div and span carry zero semantic meaning. They exist purely to group elements for styling or scripting purposes. Show practical uses: a div wrapping a card component, a span highlighting a word inline. Introduce the class attribute here as the primary way to name these groups (id as well, briefly). Reinforce block vs inline with div and span as the clearest examples. End with a deliberate teaser and honest statement: most of what you will wrap in divs today will be replaced with semantic elements in Chapter 6, but divs remain useful for purely visual grouping that has no semantic equivalent.","Student understands what div and span are, when to use them, and knows their limitation as non-semantic containers.","Group and Name: take a provided HTML page of ungrouped content and wrap related sections in appropriately named div elements using class attributes. Add spans around specific words that need individual styling hooks. No visual change expected, this is structural groundwork.","Chat Bubble Structure: inside each message li in the chat list, replace the flat text with a structured div layout: a div for the message bubble, a span for the sender name, a span for the message timestamp (hardcoded for now), and a span for the message text itself. Wrap the entire chat area in a div with id='chat-window' and the entire input area in a div with id='input-bar'. These class and id hooks are what CSS will use to create the visual chat bubble design in the next module."
Chapter 4 Capstone,,,,
"Chapter 4 Capstone: AI Chatbot, Structure Complete","Build the complete HTML skeleton of the AI chatbot from scratch using only Chapter 4 elements. The page must include: a header with h1 bot name, h2 tagline, and a bot avatar image with alt text. A navigation area with at least 3 links. A chat message area as an unordered list with 5 alternating user and bot messages, each structured with named divs and spans for the bubble, sender, timestamp, and text. An input area with a text input and a send button wrapped in a div. A footer with a credit link. A capabilities description list. All major regions wrapped in named divs and commented. Validate with W3C Markup Validator and fix all errors.","Student has a complete, valid HTML chatbot page demonstrating correct use of all Chapter 4 elements, structured and ready for CSS styling.",W3C Validation: submit the chatbot HTML to validator.w3.org. Screenshot the validation result. Fix every error before submitting the milestone. Note any warnings and investigate them even if not required to fix them.,"Chatbot Milestone 1: the complete HTML structure of the chatbot is the first course-level milestone. Save as index.html. In the CSS module this file will receive full visual styling: chat bubble design, a dark theme, layout, and animations. In the JavaScript module it will receive the actual ChatGPT API integration using fetch. By the end of the course it will be a fully working AI chatbot ready to be hosted and demonstrated."
